[NNS] ||| not ||| nos ||| PPDB2.0Score=4.59347 PPDB1.0Score=17.576980 -logp(LHS|e1)=9.86342 -logp(LHS|e2)=1.83969 -logp(e1|LHS)=13.66477 -logp(e1|e2)=5.77934 -logp(e1|e2,LHS)=6.12672 -logp(e2|LHS)=11.65934 -logp(e2|e1)=11.79764 -logp(e2|e1,LHS)=4.12130 AGigaSim=0.02454 Abstract=0 Adjacent=0 CharCountDiff=0 CharLogCR=0 ContainsX=0 Equivalence=0.015133 Exclusion=0.002291 GlueRule=0 GoogleNgramSim=0.33111 Identity=0 Independent=0.737682 Lex(e1|e2)=62.61372 Lex(e2|e1)=62.61372 Lexical=1 LogCount=0.69315 MVLSASim=NA Monotonic=1 OtherRelated=0.007458 PhrasePenalty=1 RarityPenalty=0 ReverseEntailment=0.237435 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98261 TargetFormality=0.98234 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=0 WordLogCR=0 ||| 0-0 ||| Independent
[NNS] ||| not ||| noes ||| PPDB2.0Score=4.59347 PPDB1.0Score=13.542840 -logp(LHS|e1)=9.86342 -logp(LHS|e2)=0.23785 -logp(e1|LHS)=13.66477 -logp(e1|e2)=1.62141 -logp(e1|e2,LHS)=3.48653 -logp(e2|LHS)=14.33922 -logp(e2|e1)=11.92143 -logp(e2|e1,LHS)=4.16098 AGigaSim=0.33689 Abstract=0 Adjacent=0 CharCountDiff=1 CharLogCR=0.28768 ContainsX=0 Equivalence=0.015088 Exclusion=0.002274 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.736031 Lex(e1|e2)=62.90141 Lex(e2|e1)=62.90141 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.007340 PhrasePenalty=1 RarityPenalty=0.00248 ReverseEntailment=0.239266 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98261 TargetFormality=0.98234 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=1.00000 WordLogCR=0 ||| 0-0 ||| Independent
[NNS] ||| nos ||| not ||| PPDB2.0Score=4.50907 PPDB1.0Score=17.576980 -logp(LHS|e1)=1.83969 -logp(LHS|e2)=9.86342 -logp(e1|LHS)=11.65934 -logp(e1|e2)=11.79764 -logp(e1|e2,LHS)=4.12130 -logp(e2|LHS)=13.66477 -logp(e2|e1)=5.77934 -logp(e2|e1,LHS)=6.12672 AGigaSim=0.02454 Abstract=0 Adjacent=0 CharCountDiff=0 CharLogCR=0 ContainsX=0 Equivalence=0.015133 Exclusion=0.002291 GlueRule=0 GoogleNgramSim=0.33111 Identity=0 Independent=0.737682 Lex(e1|e2)=62.61372 Lex(e2|e1)=62.61372 Lexical=1 LogCount=0.69315 MVLSASim=NA Monotonic=1 OtherRelated=0.007458 PhrasePenalty=1 RarityPenalty=0 ForwardEntailment=0.237435 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98098 TargetFormality=1.00000 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=0 WordLogCR=0 ||| 0-0 ||| Independent
[NNS] ||| noes ||| not ||| PPDB2.0Score=4.50907 PPDB1.0Score=13.542840 -logp(LHS|e1)=0.23785 -logp(LHS|e2)=9.86342 -logp(e1|LHS)=14.33922 -logp(e1|e2)=11.92143 -logp(e1|e2,LHS)=4.16098 -logp(e2|LHS)=13.66477 -logp(e2|e1)=1.62141 -logp(e2|e1,LHS)=3.48653 AGigaSim=0.33689 Abstract=0 Adjacent=0 CharCountDiff=-1 CharLogCR=-0.28768 ContainsX=0 Equivalence=0.015088 Exclusion=0.002274 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.736031 Lex(e1|e2)=62.90141 Lex(e2|e1)=62.90141 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.007340 PhrasePenalty=1 RarityPenalty=0.00248 ForwardEntailment=0.239266 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=1.00000 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-1.00000 WordLogCR=0 ||| 0-0 ||| Independent
[NNS] ||| shared ||| shares ||| PPDB2.0Score=4.42391 PPDB1.0Score=14.041340 -logp(LHS|e1)=7.62590 -logp(LHS|e2)=0.42567 -logp(e1|LHS)=15.17121 -logp(e1|e2)=6.69279 -logp(e1|e2,LHS)=8.77136 -logp(e2|LHS)=8.62674 -logp(e2|e1)=7.34855 -logp(e2|e1,LHS)=2.22690 AGigaSim=0.38268 Abstract=0 Adjacent=0 CharCountDiff=0 CharLogCR=0 ContainsX=0 Equivalence=0.530123 Exclusion=0.000002 GlueRule=0 GoogleNgramSim=0.08580 Identity=0 Independent=0.071154 Lex(e1|e2)=62.05413 Lex(e2|e1)=62.05413 Lexical=1 LogCount=1.60944 MVLSASim=NA Monotonic=1 OtherRelated=0.034446 PhrasePenalty=1 RarityPenalty=0.00002 ForwardEntailment=0.364275 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99054 TargetFormality=0.99796 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=0 WordLogCR=0 ||| 0-0 ||| Equivalence
[NNS] ||| shares ||| shared ||| PPDB2.0Score=4.36977 PPDB1.0Score=14.041340 -logp(LHS|e1)=0.42567 -logp(LHS|e2)=7.62590 -logp(e1|LHS)=8.62674 -logp(e1|e2)=7.34855 -logp(e1|e2,LHS)=2.22690 -logp(e2|LHS)=15.17121 -logp(e2|e1)=6.69279 -logp(e2|e1,LHS)=8.77136 AGigaSim=0.38268 Abstract=0 Adjacent=0 CharCountDiff=0 CharLogCR=0 ContainsX=0 Equivalence=0.530123 Exclusion=0.000002 GlueRule=0 GoogleNgramSim=0.08580 Identity=0 Independent=0.071154 Lex(e1|e2)=62.05413 Lex(e2|e1)=62.05413 Lexical=1 LogCount=1.60944 MVLSASim=NA Monotonic=1 OtherRelated=0.034446 PhrasePenalty=1 RarityPenalty=0.00002 ReverseEntailment=0.364275 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99104 TargetFormality=1.00000 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=0 WordLogCR=0 ||| 0-0 ||| Equivalence
[NN] ||| sing ||| singing ||| PPDB2.0Score=4.36061 PPDB1.0Score=5.040460 -logp(LHS|e1)=4.34778 -logp(LHS|e2)=0.67533 -logp(e1|LHS)=15.64034 -logp(e1|e2)=2.24824 -logp(e1|e2,LHS)=4.90742 -logp(e2|LHS)=12.51189 -logp(e2|e1)=2.79222 -logp(e2|e1,LHS)=1.77897 AGigaSim=0.41643 Abstract=0 Adjacent=0 CharCountDiff=3 CharLogCR=0.55962 ContainsX=0 Equivalence=0.599485 Exclusion=0.000001 GlueRule=0 GoogleNgramSim=0.02454 Identity=0 Independent=0.010230 Lex(e1|e2)=62.61372 Lex(e2|e1)=62.61372 Lexical=1 LogCount=0.69315 MVLSASim=NA Monotonic=1 OtherRelated=0.049998 PhrasePenalty=1 RarityPenalty=0 ReverseEntailment=0.340285 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.97765 TargetFormality=0.67416 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=3.00000 WordLogCR=0 ||| 0-0 ||| Equivalence
[UH] ||| lovers ||| love ||| PPDB2.0Score=4.31759 PPDB1.0Score=15.483980 -logp(LHS|e1)=3.90600 -logp(LHS|e2)=5.57974 -logp(e1|LHS)=12.10801 -logp(e1|e2)=9.83771 -logp(e1|e2,LHS)=5.43932 -logp(e2|LHS)=9.59031 -logp(e2|e1)=5.64627 -logp(e2|e1,LHS)=2.92162 AGigaSim=0.25487 Abstract=0 Adjacent=0 CharCountDiff=-2 CharLogCR=-0.40547 ContainsX=0 Equivalence=0.051748 Exclusion=0.006857 GlueRule=0 GoogleNgramSim=0.09191 Identity=0 Independent=0.245568 Lex(e1|e2)=63.30685 Lex(e2|e1)=63.30685 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.378278 PhrasePenalty=1 RarityPenalty=0.36788 ReverseEntailment=0.317548 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98183 TargetFormality=1.00000 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-2.00000 WordLogCR=0 ||| 0-0 ||| OtherRelated
[VBZ] ||| different ||| differs ||| PPDB2.0Score=4.30740 PPDB1.0Score=16.682420 -logp(LHS|e1)=10.27431 -logp(LHS|e2)=0.01680 -logp(e1|LHS)=14.88516 -logp(e1|e2)=5.77943 -logp(e1|e2,LHS)=7.59935 -logp(e2|LHS)=9.75120 -logp(e2|e1)=10.90299 -logp(e2|e1,LHS)=2.46539 AGigaSim=0.21910 Abstract=0 Adjacent=0 CharCountDiff=-2 CharLogCR=-0.25131 ContainsX=0 Equivalence=0.034443 Exclusion=0.003206 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.284569 Lex(e1|e2)=62.61372 Lex(e2|e1)=62.61372 Lexical=1 LogCount=0.69315 MVLSASim=NA Monotonic=1 OtherRelated=0.260028 PhrasePenalty=1 RarityPenalty=0.00248 ForwardEntailment=0.417754 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.97531 TargetFormality=0.96556 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-2.00000 WordLogCR=0 ||| 0-0 ||| ForwardEntailment
[UH] ||| love ||| lovers ||| PPDB2.0Score=4.28483 PPDB1.0Score=15.483980 -logp(LHS|e1)=5.57974 -logp(LHS|e2)=3.90600 -logp(e1|LHS)=9.59031 -logp(e1|e2)=5.64627 -logp(e1|e2,LHS)=2.92162 -logp(e2|LHS)=12.10801 -logp(e2|e1)=9.83771 -logp(e2|e1,LHS)=5.43932 AGigaSim=0.25487 Abstract=0 Adjacent=0 CharCountDiff=2 CharLogCR=0.40547 ContainsX=0 Equivalence=0.051748 Exclusion=0.006857 GlueRule=0 GoogleNgramSim=0.09191 Identity=0 Independent=0.245568 Lex(e1|e2)=63.30685 Lex(e2|e1)=63.30685 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.378278 PhrasePenalty=1 RarityPenalty=0.36788 ForwardEntailment=0.317548 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98608 TargetFormality=0.75693 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=2.00000 WordLogCR=0 ||| 0-0 ||| OtherRelated
[VBD] ||| became ||| came ||| PPDB2.0Score=4.27506 PPDB1.0Score=10.809670 -logp(LHS|e1)=0.00385 -logp(LHS|e2)=0.00519 -logp(e1|LHS)=6.48869 -logp(e1|e2)=5.53090 -logp(e1|e2,LHS)=4.91362 -logp(e2|LHS)=6.23791 -logp(e2|e1)=5.27877 -logp(e2|e1,LHS)=4.66284 AGigaSim=0.47140 Abstract=0 Adjacent=0 CharCountDiff=-2 CharLogCR=-0.40547 ContainsX=0 Equivalence=0.032727 Exclusion=0.005198 GlueRule=0 GoogleNgramSim=0.08580 Identity=0 Independent=0.549645 Lex(e1|e2)=59.17175 Lex(e2|e1)=59.17175 Lexical=1 LogCount=4.89035 MVLSASim=NA Monotonic=1 OtherRelated=0.067573 PhrasePenalty=1 RarityPenalty=0 ReverseEntailment=0.344857 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98450 TargetFormality=0.96932 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-2.00000 WordLogCR=0 ||| 0-0 ||| Independent
